Successful: 4728
Failed: 2328
Sent to users:
491. User ID: 490684821, Status: Delivered
492. User ID: 491463639, Status: Delivered
493. User ID: 491595045, Status: Delivered
494. User ID: 492351492, Status: Delivered
495. User ID: 495063585, Status: Not delivered
496. User ID: 495472307, Status: Not delivered
497. User ID: 496351603, Status: Not delivered
498. User ID: 496833395, Status: Not delivered
499. User ID: 498601585, Status: Delivered
500. User ID: 501256888, Status: Delivered
501. User ID: 502377847, Status: Not delivered
502. User ID: 502930191, Status: Not delivered
503. User ID: 503108845, Status: Not delivered
504. User ID: 503851950, Status: Not delivered
505. User ID: 505547600, Status: Not delivered
506. User ID: 506122161, Status: Delivered
507. User ID: 507562322, Status: Not delivered
508. User ID: 508662128, Status: Delivered
509. User ID: 508811894, Status: Not delivered
510. User ID: 509787323, Status: Delivered
511. User ID: 509807593, Status: Delivered
512. User ID: 511394502, Status: Not delivered
513. User ID: 511458258, Status: Delivered
514. User ID: 511479131, Status: Delivered
515. User ID: 512433783, Status: Delivered
516. User ID: 513438354, Status: Delivered
517. User ID: 515668927, Status: Delivered
518. User ID: 515800340, Status: Not delivered
519. User ID: 517139836, Status: Not delivered
520. User ID: 518487027, Status: Delivered
521. User ID: 518556722, Status: Not delivered
522. User ID: 518766788, Status: Delivered
523. User ID: 519054786, Status: Delivered
524. User ID: 519854566, Status: Not delivered
525. User ID: 520361139, Status: Delivered
526. User ID: 521729422, Status: Delivered
527. User ID: 522762570, Status: Delivered
528. User ID: 523532672, Status: Delivered
529. User ID: 523678545, Status: Delivered
530. User ID: 523692467, Status: Delivered
531. User ID: 523714325, Status: Not delivered
532. User ID: 524336666, Status: Delivered
533. User ID: 524926604, Status: Delivered
534. User ID: 525362219, Status: Delivered
535. User ID: 525696631, Status: Delivered
536. User ID: 525738767, Status: Not delivered
537. User ID: 526072271, Status: Delivered
538. User ID: 526078966, Status: Delivered
539. User ID: 527586979, Status: Delivered
540. User ID: 527971772, Status: Delivered
541. User ID: 529102258, Status: Delivered
542. User ID: 530521526, Status: Not delivered
543. User ID: 530660348, Status: Delivered
544. User ID: 531588910, Status: Not delivered
545. User ID: 534652764, Status: Not delivered
546. User ID: 534910896, Status: Delivered
547. User ID: 535161031, Status: Delivered
548. User ID: 535917850, Status: Delivered
549. User ID: 536147727, Status: Delivered
550. User ID: 536249331, Status: Delivered
551. User ID: 538573376, Status: Delivered
